Professor,Dia,Turno,Horário,Disciplina
Prof 18,Quinta,T,1,livre
Prof 18,Quinta,T,2,livre
Prof 18,Quinta,T,3,livre
Prof 18,Quinta,T,4,livre
Prof 18,Quinta,T,5,livre
Prof 18,Quinta,N,1,livre
Prof 18,Quinta,N,2,livre
Prof 18,Quinta,N,3,livre
Prof 18,Quinta,N,4,livre
Prof 18,Quinta,N,5,livre
Prof 18,Sexta,M,1,livre
Prof 18,Sexta,M,2,livre
Prof 18,Sexta,M,3,livre
Prof 18,Sexta,M,4,livre
Prof 18,Sexta,M,5,livre
Prof 18,Sexta,T,1,livre
Prof 18,Sexta,T,2,livre
Prof 18,Sexta,T,3,livre
Prof 18,Sexta,T,4,livre
Prof 18,Sexta,T,5,livre
Prof 18,Sexta,N,1,livre
Prof 18,Sexta,N,2,livre
Prof 18,Sexta,N,3,Banco de Dados II (SIN - 5º período)
Prof 18,Sexta,N,4,Banco de Dados II (SIN - 5º período)
Prof 18,Sexta,N,5,livre
