Professor,Dia,Turno,Horário,Disciplina
Prof 5,Terça,M,4,Linguagens Formais e Autômatos (CCO - 5º período)
Prof 5,Terça,M,5,livre
Prof 5,Terça,T,1,livre
Prof 5,Terça,T,2,livre
Prof 5,Terça,T,3,livre
Prof 5,Terça,T,4,livre
Prof 5,Terça,T,5,livre
Prof 5,Terça,N,1,livre
Prof 5,Terça,N,2,livre
Prof 5,Terça,N,3,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Terça,N,4,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Terça,N,5,livre
Prof 5,Quarta,M,1,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,2,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,3,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,4,Matemática Discreta (CCO - 1º período)
Prof 5,Quarta,M,5,livre
Prof 5,Quarta,T,1,livre
Prof 5,Quarta,T,2,livre
Prof 5,Quarta,T,3,livre
Prof 5,Quarta,T,4,livre
Prof 5,Quarta,T,5,livre
Prof 5,Quarta,N,1,livre
Prof 5,Quarta,N,2,livre
Prof 5,Quarta,N,3,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Quarta,N,4,Linguagens Formais e Autômatos (SIN - 5º período)
Prof 5,Quarta,N,5,livre
Prof 5,Quinta,M,1,livre
Prof 5,Quinta,M,2,livre
Prof 5,Quinta,M,3,livre
Prof 5,Quinta,M,4,livre
Prof 5,Quinta,M,5,livre
Prof 5,Quinta,T,1,livre
Prof 5,Quinta,T,2,livre
Prof 5,Quinta,T,3,livre
Prof 5,Quinta,T,4,livre
Prof 5,Quinta,T,5,livre
Prof 5,Quinta,N,1,livre
Prof 5,Quinta,N,2,livre
Prof 5,Quinta,N,3,livre
Prof 5,Quinta,N,4,livre
Prof 5,Quinta,N,5,livre
Prof 5,Sexta,M,1,livre
Prof 5,Sexta,M,2,livre
Prof 5,Sexta,M,3,livre
Prof 5,Sexta,M,4,livre
Prof 5,Sexta,M,5,livre
Prof 5,Sexta,T,1,livre
Prof 5,Sexta,T,2,livre
Prof 5,Sexta,T,3,livre
Prof 5,Sexta,T,4,livre
Prof 5,Sexta,T,5,livre
Prof 5,Sexta,N,1,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,2,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,3,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,4,Fundamentos de Lógica e Matemática Discreta (SIN - 3º período)
Prof 5,Sexta,N,5,livre
Prof 6,Segunda,M,1,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,2,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,3,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,4,Robótica (Pós Graduação - 5º período)
Prof 6,Segunda,M,5,livre
Prof 6,Segunda,T,1,livre
Prof 6,Segunda,T,2,livre
Prof 6,Segunda,T,3,livre
Prof 6,Segunda,T,4,livre
Prof 6,Segunda,T,5,livre
Prof 6,Segunda,N,1,livre
Prof 6,Segunda,N,2,livre
Prof 6,Segunda,N,3,livre
Prof 6,Segunda,N,4,livre
Prof 6,Segunda,N,5,livre
Prof 6,Terça,M,1,livre
Prof 6,Terça,M,2,livre
Prof 6,Terça,M,3,livre
Prof 6,Terça,M,4,livre
Prof 6,Terça,M,5,livre
Prof 6,Terça,T,1,livre
Prof 6,Terça,T,2,livre
Prof 6,Terça,T,3,livre
Prof 6,Terça,T,4,livre
Prof 6,Terça,T,5,livre
Prof 6,Terça,N,1,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,2,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,3,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,4,Interação Humano-Computador (SIN - 7º período)
Prof 6,Terça,N,5,livre
Prof 6,Quarta,M,1,livre
Prof 6,Quarta,M,2,livre
Prof 6,Quarta,M,3,livre
Prof 6,Quarta,M,4,livre
Prof 6,Quarta,M,5,livre
Prof 6,Quarta,T,1,livre
Prof 6,Quarta,T,2,livre
Prof 6,Quarta,T,3,livre
Prof 6,Quarta,T,4,livre
Prof 6,Quarta,T,5,livre
Prof 6,Quarta,N,1,livre
Prof 6,Quarta,N,2,livre
Prof 6,Quarta,N,3,livre
Prof 6,Quarta,N,4,livre
Prof 6,Quarta,N,5,livre
Prof 6,Quinta,M,1,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,2,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,3,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,4,Interação Humano-Computador (CCO - 7º período)
Prof 6,Quinta,M,5,livre
Prof 6,Quinta,T,1,livre
Prof 6,Quinta,T,2,livre
Prof 6,Quinta,T,3,livre
Prof 6,Quinta,T,4,livre
Prof 6,Quinta,T,5,livre
Prof 6,Quinta,N,1,livre
Prof 6,Quinta,N,2,livre
Prof 6,Quinta,N,3,Projeto Integrado (SIN - 1º período)
Prof 6,Quinta,N,4,Projeto Integrado (SIN - 1º período)
Prof 6,Quinta,N,5,livre
Prof 6,Sexta,M,1,livre
Prof 6,Sexta,M,2,livre
Prof 6,Sexta,M,3,livre
Prof 6,Sexta,M,4,livre
Prof 6,Sexta,M,5,livre
Prof 6,Sexta,T,1,livre
Prof 6,Sexta,T,2,livre
Prof 6,Sexta,T,3,livre
Prof 6,Sexta,T,4,livre
Prof 6,Sexta,T,5,livre
Prof 6,Sexta,N,1,livre
Prof 6,Sexta,N,2,livre
Prof 6,Sexta,N,3,livre
Prof 6,Sexta,N,4,livre
Prof 6,Sexta,N,5,livre
Prof 7,Segunda,M,1,livre
Prof 7,Segunda,M,2,livre
Prof 7,Segunda,M,3,livre
Prof 7,Segunda,M,4,livre
Prof 7,Segunda,M,5,livre
Prof 7,Segunda,T,1,livre
Prof 7,Segunda,T,2,livre
Prof 7,Segunda,T,3,livre
Prof 7,Segunda,T,4,livre
Prof 7,Segunda,T,5,livre
Prof 7,Segunda,N,1,livre
Prof 7,Segunda,N,2,livre
Prof 7,Segunda,N,3,livre
Prof 7,Segunda,N,4,livre
Prof 7,Segunda,N,5,livre
Prof 7,Terça,M,1,Processamento Digital de Imagens (CCO - 7º período)
Prof 7,Terça,M,2,Processamento Digital de Imagens (CCO - 7º período)
Prof 7,Terça,M,3,Processamento Digital de Imagens (CCO - 7º período)
Prof 7,Terça,M,4,Processamento Digital de Imagens (CCO - 7º período)
Prof 7,Terça,M,5,livre
Prof 7,Terça,T,1,livre
Prof 7,Terça,T,2,livre
Prof 7,Terça,T,3,livre
Prof 7,Terça,T,4,livre
Prof 7,Terça,T,5,livre
Prof 7,Terça,N,1,livre
Prof 7,Terça,N,2,livre
Prof 7,Terça,N,3,livre
Prof 7,Terça,N,4,livre
Prof 7,Terça,N,5,livre
Prof 7,Quarta,M,1,livre
Prof 7,Quarta,M,2,livre
Prof 7,Quarta,M,3,livre
Prof 7,Quarta,M,4,livre
Prof 7,Quarta,M,5,livre
Prof 7,Quarta,T,1,livre
Prof 7,Quarta,T,2,livre
Prof 7,Quarta,T,3,livre
Prof 7,Quarta,T,4,livre
Prof 7,Quarta,T,5,livre
Prof 7,Quarta,N,1,livre
Prof 7,Quarta,N,2,livre
Prof 7,Quarta,N,3,livre
Prof 7,Quarta,N,4,livre
Prof 7,Quarta,N,5,livre
Prof 7,Quinta,M,1,livre
Prof 7,Quinta,M,2,livre
Prof 7,Quinta,M,3,livre
Prof 7,Quinta,M,4,livre
Prof 7,Quinta,M,5,livre
Prof 7,Quinta,T,1,livre
Prof 7,Quinta,T,2,livre
Prof 7,Quinta,T,3,livre
Prof 7,Quinta,T,4,livre
Prof 7,Quinta,T,5,livre
Prof 7,Quinta,N,1,Sistemas Inteligentes (SIN - 5º período)
Prof 7,Quinta,N,2,Sistemas Inteligentes (SIN - 5º período)
Prof 7,Quinta,N,3,Sistemas Inteligentes (SIN - 5º período)
Prof 7,Quinta,N,4,Sistemas Inteligentes (SIN - 5º período)
Prof 7,Quinta,N,5,livre
