Curso,PPC,Período,Código da Disciplina,Nome da Disciplina,CH,Prof 1,Prof 2,Prof 3,Prof 4,Prof 5,Prof 6,Prof 7,Prof 8,Prof 9,Prof 10,Prof 11,Prof 12,Prof 13,Prof 14,Prof 15,Prof 16,Prof 17,Prof 18
Outros Cursos,0,1,CCO016,Organização e Métodos,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Cursos,0,1,CCO016,Fundamentos de Programação (EME),4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Cursos,0,1,CCO016,Fundamentos de Programação (EBP / ECI),4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Cursos,0,1,CCO016,Fundamentos de Programação (MBA),4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Outros Cursos,0,1,CCO016,Fundamentos de Programação (EMA / EEN),4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optativas,0,3,OPT1,Metaheurísticas para Problemas de Otimização,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Optativas,0,3,OPT2,Redes Complexas,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Optativas,0,5,OPT3,Cloud Computing,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Optativas,0,3,OPT4,Tópicos em Ciência de Dados,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pós Graduação,0,3,POS1,Design Patterns,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pós Graduação,0,4,POS2,Visualização da Informação,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pós Graduação,0,5,POS3,Visão Computacional,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pós Graduação,0,5,POS5,Robótica,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
